,fixed acidity_val,volatile acidity_val,citric acid_val,residual sugar_val,chlorides_val,free sulfur dioxide_val,total sulfur dioxide_val,density_val,pH_val,sulphates_val,alcohol_val,quality_val,fixed acidity_z,volatile acidity_z,citric acid_z,residual sugar_z,chlorides_z,free sulfur dioxide_z,total sulfur dioxide_z,density_z,pH_z,sulphates_z,alcohol_z,quality_z
13,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,0.2985474337867381,0.45909377979771565,0.0976911230040726,0.6660617859658576,0.5639347473167605,0.657454052698547,0.5311775247568079,0.3462689846149235,0.3311766102216806,5.32210116796055,1.2418478537860334,0.787822640922809
14,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,0.3334360555471099,0.5149585455141305,0.4671639600066559,0.8947896617047238,1.881665507905276,3.454668962073944,2.996262667215974,0.982285418363013,0.9791044209943073,1.3092119387004189,1.1479806048222734,0.787822640922809
15,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,0.3334360555471099,0.5149585455141305,0.41581349791477146,0.9657374547806594,1.75414317623542,3.359038194288537,3.087489568732511,0.982285418363013,0.9143116399170458,1.6042773232048406,1.1479806048222734,0.787822640922809
17,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,0.12618830033205244,0.1797699512156426,0.046340660912188414,0.5951139928899222,5.96238012134068,0.011961321799300349,0.2898645888920292,0.028260767740937578,1.3030683263806235,3.66973501473579,1.0541133558585118,0.787822640922809
19,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,0.24109438930184252,1.1609844259783102,1.22740128902553,0.5241661998139866,5.388529628826326,0.1075920895847071,0.2898645888920292,0.08126213721993523,1.7566177939214629,2.489473476718105,1.1479806048222734,0.4508483549823745
33,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,0.8156248341507949,0.4311613969395083,0.7752667325579624,5.790187383944274,0.30746785242725816,2.3070997486490628,1.1109067025408663,1.3532950047159966,0.8998862302463171,0.8152588297314148,0.9602461068947519,0.4508483549823745
38,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,1.505061367969538,3.364061597051279,0.9293181188336156,0.7370095790417932,1.7966506201253716,0.8487155882693604,0.8352671964785994,1.4557775776711732,1.2238501356326303,1.0513111373349522,0.5847771110397104,2.0264936368279924
42,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,0.4709065672414237,0.21128340879926055,0.36446303582288697,0.0434161447934977,5.197246131321542,0.7530848204839538,0.9873120323394952,0.028260767740937578,0.6551405156079939,1.4272380925021877,0.07229363170661092,0.4508483549823745
43,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,0.12618830033205244,0.7384176083797893,0.2617621116391182,0.24037502751024437,0.3924827402071622,0.657454052698547,0.7136313277898828,0.028260767740937578,0.07200548591262876,3.1976303995287156,0.11544086622090897,0.787822640922809
45,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,2.137044857303386,0.043689111650016335,0.6212153462823091,0.31132282058617994,0.7112885693818033,0.7530848204839538,0.5635452934416415,1.773785794545218,3.815561378723146,0.5792065221278776,2.512842104764378,2.0264936368279924
