,fixed acidity_val,volatile acidity_val,citric acid_val,residual sugar_val,chlorides_val,free sulfur dioxide_val,total sulfur dioxide_val,density_val,pH_val,sulphates_val,alcohol_val,quality_val,fixed acidity_z,volatile acidity_z,citric acid_z,residual sugar_z,chlorides_z,free sulfur dioxide_z,total sulfur dioxide_z,density_z,pH_z,sulphates_z,alcohol_z,quality_z
17,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,0.7760151402053762,3.7878820234344124,1.2049546848589456,1.023636779780432,0.7677633186620484,0.370945965542145,1.4910591124507186,1.6141824136696352,0.9387236317328562,0.8749734131083174,1.8575720097224715,2.3963582557141057
20,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,0.7760151402053762,3.7878820234344124,1.2049546848589456,1.023636779780432,0.7677633186620484,0.370945965542145,1.4910591124507186,1.6141824136696352,0.9387236317328562,0.8749734131083174,1.8575720097224715,2.3963582557141057
23,7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,5,0.8831810369039897,3.8871038676457643,1.6047896838338018,0.9644831497921176,1.2921350765650597,0.6061653511427438,0.6974992631041207,0.10946843676874275,0.9157629609461754,0.17660489849283625,0.9868119012233645,0.991373917603488
40,6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,3.11,0.36,9.4,6,0.18344507695203105,0.4786572776537213,0.4611988225579245,0.7673043831644025,5.778136026170762,1.6284188120629457,0.4621704055175789,0.10946843676874275,0.5183729768006685,1.137867991008606,0.9055437894820552,0.13787014016904328
41,6.7,0.24,0.39,2.9,0.173,63.0,157.0,0.9937,3.1,0.34,9.4,6,0.18344507695203105,0.3794354334423695,0.4611988225579245,0.6884328765133165,5.823911546064698,1.6284188120629457,0.4386375197589247,0.10946843676874275,0.5846046408249183,1.3131310429421315,0.9055437894820552,0.13787014016904328
54,6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,3.05,0.38,9.1,6,0.06493106430136242,0.776322810287777,2.1139896276713053,1.0827904097687466,4.633748028822368,0.15829765205920254,0.14968462420743,0.34353505539777873,0.9157629609461754,0.9626049390750804,1.1493481247059845,0.13787014016904328
72,6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,10.0,5,1.0130431655067145,0.08176990080831344,0.44783612025443503,0.31379321992065795,0.7886043577317666,0.2533362727418455,1.4740844931397088,0.7933599493717556,3.323063536605894,1.9292354178280922,0.41793511903419783,0.991373917603488
98,9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.9956,2.89,0.3,10.1,4,3.49048931521871,0.8112266970938538,1.0396756043476079,0.8101257498573179,0.35578363961662685,1.8410671255458881,1.302796026381485,0.5258552423671855,1.9754695853341904,1.663657146809183,0.3366670072928885,2.1206179753760193
147,6.4,0.595,0.14,5.2,0.058,15.0,97.0,0.9951,3.38,0.36,9.0,4,0.538987114904038,3.142940036060624,1.6047896838338018,0.23492171326957187,0.5597267582620881,1.1942138151442412,0.9733356257603265,0.35866480048929206,1.2698819518541102,1.137867991008606,1.230616236447294,2.1206179753760193
154,8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,6,1.5942651128080036,0.4786572776537213,0.5438383628135937,0.21858944997417273,0.14774707921666638,1.3706283543446902,1.4675262266920643,0.8602361261229352,0.8495312969219228,3.068445255396009,0.6617394542581272,0.13787014016904328
169,9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.9958,2.87,0.29,10.0,5,3.49048931521871,1.4065577623619654,1.2049546848589456,0.6819595515493031,0.5388857191923696,1.7822622791457383,0.6674081108978221,0.592731419118328,2.1079329133826925,1.7512886727759458,0.41793511903419783,0.991373917603488
178,6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.9931,3.11,0.35,8.7,4,1.0130431655067145,3.8871038676457643,2.1832664656234853,1.023636779780432,0.6512777980499593,1.5470428935451395,0.7144738824151304,0.31009696702220746,0.5183729768006685,1.225499516975369,1.4744205716712233,2.1206179753760193
182,6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,5,0.06493106430136242,0.017451943403038586,0.5438383628135937,3.0776815660760413,0.10197155932273061,0.7463461160606998,0.6739663773454665,2.3315120146481823,1.7105429292371859,0.08897337252607336,1.4744205716712233,0.991373917603488
191,6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,5,0.06493106430136242,0.017451943403038586,0.5438383628135937,3.0776815660760413,0.10197155932273061,0.7463461160606998,0.6739663773454665,2.3315120146481823,1.7105429292371859,0.08897337252607336,1.4744205716712233,0.991373917603488
194,6.4,0.29,0.44,3.6,0.2,75.0,181.0,0.9942,3.02,0.41,9.1,5,0.538987114904038,0.11667378761439007,0.8743965238362696,0.550407739873916,7.059850583200964,2.3340769688647423,1.003426777966625,0.05772200510911356,1.1144579530189271,0.6997103611747921,1.1493481247059845,0.991373917603488
195,6.4,0.3,0.45,3.5,0.197,76.0,180.0,0.9942,3.02,0.39,9.1,6,0.538987114904038,0.2158956318257421,0.9570360640919388,0.5701256165366875,6.9225240235191565,2.392881815264892,0.979893892207971,0.05772200510911356,1.1144579530189271,0.8749734131083174,1.1493481247059845,0.13787014016904328
196,6.4,0.29,0.44,3.6,0.197,75.0,183.0,0.9942,3.01,0.38,9.1,5,0.538987114904038,0.11667378761439007,0.8743965238362696,0.550407739873916,6.9225240235191565,2.3340769688647423,1.0504925494839334,0.05772200510911356,1.1806896170431798,0.9626049390750804,1.1493481247059845,0.991373917603488
207,10.2,0.44,0.88,6.2,0.049,20.0,124.0,0.9968,2.99,0.51,9.9,4,3.9645453658213845,1.6050014507846693,4.510536295085709,0.0377429466418568,0.14774707921666638,0.9001895831434925,0.3379477102766635,0.9271123028740778,1.3131529450916792,0.17660489849283625,0.49920323077550716,2.1206179753760193
221,7.2,0.685,0.21,9.5,0.07,33.0,172.0,0.9971,3.0,0.55,9.1,6,0.40912498630131416,4.035936633962792,1.0263129020441186,0.6129469832296028,1.1090329969893171,0.13572657994154608,0.7916308061387375,1.0274265680007915,1.2469212810674295,0.5271310023598879,1.1493481247059845,0.13787014016904328
227,7.1,0.25,0.32,10.3,0.041,66.0,272.0,0.9969,3.17,0.52,9.1,6,0.2906109736506445,0.2802135892310175,0.11727795923175896,0.7706899965317751,0.21845707993481953,1.8048333512633947,3.144919382004156,0.960550391249649,0.12098299265516183,0.26423642445959916,1.1493481247059845,0.13787014016904328
230,6.8,0.64,0.08,9.7,0.062,26.0,142.0,0.9972,3.37,0.46,8.9,4,0.06493106430136242,3.589438335011708,2.1006269253678163,0.6523827365551457,0.7428288378378309,0.5473605047425941,0.08564423337911187,1.0608646563763628,1.2036502878298607,0.26155273134097773,1.3118843481886031,2.1206179753760193
250,5.9,0.21,0.28,4.6,0.053,40.0,199.0,0.9964,3.72,0.7,10.0,4,1.1315571781573832,0.6771009660764253,0.44783612025443503,0.353228973246201,0.33084915879240917,0.27590734485950197,1.4270187216224006,0.7933599493717556,3.5217585286786486,1.8416038918613291,0.41793511903419783,2.1206179753760193
251,8.5,0.26,0.21,16.2,0.074,41.0,197.0,0.998,3.02,0.5,9.8,3,1.9498071507600114,0.18099174501966547,1.0263129020441186,1.9340447196352937,1.2921350765650597,0.3347121912596517,1.3799529501050922,1.3283693633809701,1.1144579530189271,0.08897337252607336,0.5804713425168164,3.249862033148551
253,5.8,0.24,0.44,3.5,0.029,5.0,109.0,0.9913,3.53,0.43,11.7,3,1.2500711908080528,0.3794354334423695,0.8743965238362696,0.5701256165366875,0.7677633186620484,1.7822622791457383,0.6909409966564762,0.9119825577825644,2.263356912217876,0.5244473092412664,0.9636227805680648,3.249862033148551
268,5.3,0.585,0.07,7.1,0.044,34.0,145.0,0.9945,3.34,0.57,9.7,6,1.8426412540613981,3.043718191849272,2.1832664656234853,0.13971794332308665,0.0811305202530125,0.07692173354139635,0.15624289065507443,0.15803627023586447,1.0049552957571057,0.7023940542934126,0.6617394542581272,0.13787014016904328
