,PC1_loading,PC2_loading
fixed acidity,0.14815666313662618,0.5497085952425078
volatile acidity,0.14751820828794682,-0.39366328618930735
citric acid,0.28974161272114235,0.35461292530996397
residual sugar,0.39772813335392776,0.02011696032332652
chlorides,0.2855828007308643,0.048153977717107464
free sulfur dioxide,0.3259003689803823,-0.196067555662615
total sulfur dioxide,0.01298856716796708,0.24307156355061843
density,0.5213353736609037,-0.2172951579249368
pH,-0.19876650138548208,-0.4302154272085901
sulphates,-0.16130214635810844,0.2892995741405516
alcohol,-0.43462138168003633,0.02920339893524751
